1;1;¿cual es la parte mas externa del ojo humano?;la pupila;la cornea;el iris;la retina;2
1;1;¿cual es la voz del becerro?;berrido;gruñido;ladrido;aullido;1
1;1;¿que medico trata las enfermedades del oido garganta y nariz?;traumatologo;dermatologo;otorrinolarigologo;urologo;3
1;1;¿cuantos cuartos de hora hay en un dia?;24;48;82;96;4
1;1;¿como se dice oeste en ingles?;oest;east;west;easter;3
1;1;¿de donde era don quijote?;de america;de bilbao;de brasil;de la mancha;4
1;1;¿con que limita al norte la region de alaska?;oceano indico;oceano antartico;oceanoglacial artico;oceano atlantico;3
1;1;¿cual es la capital de honduras?;georgetown;san jose; honduras;tegucigalpa;4
1;1;¿cual era el idioma oficial del imperio romano?;el hebreo;el griego;el latin;el romano;3
1;1;¿cual es el continente mas pequeño del planeta?;europa;africa;oceania;america;3
1;1;el rio mas largo y caudoloso del continente europeo es:;deanubio;sena;volga;amazonas;3
1;1;¿como describirias el arte enviado por las chicas?;innovador;perfecto;coherente;todas las anteriores;4
1;1;¿Es esto un test correcto?;si;not si;no;si2;1

